event_id,event_type,occurred_at,order_id,fulfilment_unit_id,delivery_id,store_id,rider_id,reason
EVT-0000437,RIDER_ASSIGNED,2026-08-15 09:19:00,ORD-000045,FU-000043,DEL-000039,STR-013,RID-000026,
EVT-0000999,FULFILMENT_FAILED,2026-08-15 09:19:16,ORD-000096,FU-000095,,STR-016,,STORE_CAPACITY_EXCEEDED
EVT-0000923,PICKED_UP,2026-08-15 09:19:20,ORD-000090,FU-000088,DEL-000080,STR-016,RID-000013,
EVT-0000434,PICKING_COMPLETED,2026-08-15 09:19:56,ORD-000045,FU-000043,,STR-013,,
EVT-0000438,RIDER_ARRIVED_AT_STORE,2026-08-15 09:20:00,ORD-000045,FU-000043,DEL-000039,STR-013,RID-000026,
EVT-0001006,PACKING_COMPLETED,2026-08-15 09:20:12,ORD-000098,FU-000096,,STR-004,,
EVT-0000435,PACKING_STARTED,2026-08-15 09:20:20,ORD-000045,FU-000043,,STR-013,,
EVT-0000924,DELIVERY_STARTED,2026-08-15 09:20:23,ORD-000090,FU-000088,DEL-000080,STR-016,RID-000013,
EVT-0001009,PICKED_UP,2026-08-15 09:20:43,ORD-000098,FU-000096,DEL-000087,STR-004,RID-000011,
EVT-0001010,DELIVERY_STARTED,2026-08-15 09:21:57,ORD-000098,FU-000096,DEL-000087,STR-004,RID-000011,
EVT-0000436,PACKING_COMPLETED,2026-08-15 09:22:46,ORD-000045,FU-000043,,STR-013,,
EVT-0000439,PICKED_UP,2026-08-15 09:23:06,ORD-000045,FU-000043,DEL-000039,STR-013,RID-000026,
EVT-0000440,DELIVERY_STARTED,2026-08-15 09:24:19,ORD-000045,FU-000043,DEL-000039,STR-013,RID-000026,
EVT-0000925,DELIVERED,2026-08-15 09:25:36,ORD-000090,FU-000088,DEL-000080,STR-016,RID-000013,
EVT-0000441,DELIVERED,2026-08-15 09:31:11,ORD-000045,FU-000043,DEL-000039,STR-013,RID-000026,
EVT-0001011,DELIVERED,2026-08-15 09:37:43,ORD-000098,FU-000096,DEL-000087,STR-004,RID-000011,
EVT-0000697,ORDER_CREATED,2026-08-15 09:41:25,ORD-000071,,,,,
EVT-0000698,PAYMENT_SUCCESS,2026-08-15 09:41:54,ORD-000071,,,,,
EVT-0000699,STORE_ASSIGNED,2026-08-15 09:43:41,ORD-000071,FU-000068,,STR-001,,
EVT-0000700,PICKING_STARTED,2026-08-15 09:45:18,ORD-000071,FU-000068,,STR-001,,
EVT-0000701,PICKING_COMPLETED,2026-08-15 09:48:16,ORD-000071,FU-000068,,STR-001,,
EVT-0000702,PACKING_STARTED,2026-08-15 09:48:51,ORD-000071,FU-000068,,STR-001,,
EVT-0000704,RIDER_ASSIGNED,2026-08-15 09:50:00,ORD-000071,FU-000068,DEL-000062,STR-001,RID-000015,
EVT-0000703,PACKING_COMPLETED,2026-08-15 09:50:15,ORD-000071,FU-000068,,STR-001,,
EVT-0000705,RIDER_ARRIVED_AT_STORE,2026-08-15 09:53:00,ORD-000071,FU-000068,DEL-000062,STR-001,RID-000015,
EVT-0000706,PICKED_UP,2026-08-15 09:53:24,ORD-000071,FU-000068,DEL-000062,STR-001,RID-000015,
EVT-0000551,ORDER_CREATED,2026-08-15 09:53:33,ORD-000058,,,,,
EVT-0000552,PAYMENT_SUCCESS,2026-08-15 09:53:52,ORD-000058,,,,,
EVT-0000707,DELIVERY_STARTED,2026-08-15 09:53:53,ORD-000071,FU-000068,DEL-000062,STR-001,RID-000015,
EVT-0000553,STORE_ASSIGNED,2026-08-15 09:55:31,ORD-000058,FU-000055,,STR-018,,
EVT-0000554,PICKING_STARTED,2026-08-15 09:57:57,ORD-000058,FU-000055,,STR-018,,
EVT-0000558,RIDER_ASSIGNED,2026-08-15 09:59:00,ORD-000058,FU-000055,DEL-000050,STR-018,RID-000024,
EVT-0000555,PICKING_COMPLETED,2026-08-15 10:01:45,ORD-000058,FU-000055,,STR-018,,
EVT-0000559,RIDER_ARRIVED_AT_STORE,2026-08-15 10:02:00,ORD-000058,FU-000055,DEL-000050,STR-018,RID-000024,
EVT-0000556,PACKING_STARTED,2026-08-15 10:02:29,ORD-000058,FU-000055,,STR-018,,
EVT-0000708,DELIVERED,2026-08-15 10:03:48,ORD-000071,FU-000068,DEL-000062,STR-001,RID-000015,
EVT-0000557,PACKING_COMPLETED,2026-08-15 10:05:52,ORD-000058,FU-000055,,STR-018,,
EVT-0000560,PICKED_UP,2026-08-15 10:06:51,ORD-000058,FU-000055,DEL-000050,STR-018,RID-000024,
EVT-0000561,DELIVERY_STARTED,2026-08-15 10:08:03,ORD-000058,FU-000055,DEL-000050,STR-018,RID-000024,
EVT-0000562,DELIVERED,2026-08-15 10:16:16,ORD-000058,FU-000055,DEL-000050,STR-018,RID-000024,
EVT-0000310,ORDER_CREATED,2026-08-15 11:06:02,ORD-000032,,,,,
EVT-0000311,PAYMENT_SUCCESS,2026-08-15 11:06:39,ORD-000032,,,,,
EVT-0000312,STORE_ASSIGNED,2026-08-15 11:08:12,ORD-000032,FU-000032,,STR-005,,
EVT-0000322,STORE_ASSIGNED,2026-08-15 11:08:12,ORD-000032,FU-000033,,STR-020,,
EVT-0000313,PICKING_STARTED,2026-08-15 11:10:45,ORD-000032,FU-000032,,STR-005,,
EVT-0000317,RIDER_ASSIGNED,2026-08-15 11:11:00,ORD-000032,FU-000032,DEL-000028,STR-005,RID-000045,
EVT-0000323,PICKING_STARTED,2026-08-15 11:11:09,ORD-000032,FU-000033,,STR-020,,
EVT-0000318,RIDER_ARRIVED_AT_STORE,2026-08-15 11:12:00,ORD-000032,FU-000032,DEL-000028,STR-005,RID-000045,
EVT-0000327,RIDER_ASSIGNED,2026-08-15 11:12:00,ORD-000032,FU-000033,DEL-000029,STR-020,RID-000032,
EVT-0000328,RIDER_ARRIVED_AT_STORE,2026-08-15 11:16:00,ORD-000032,FU-000033,DEL-000029,STR-020,RID-000032,
EVT-0000314,PICKING_COMPLETED,2026-08-15 11:17:36,ORD-000032,FU-000032,,STR-005,,
EVT-0000324,PICKING_COMPLETED,2026-08-15 11:18:13,ORD-000032,FU-000033,,STR-020,,
EVT-0000315,PACKING_STARTED,2026-08-15 11:18:19,ORD-000032,FU-000032,,STR-005,,
EVT-0000325,PACKING_STARTED,2026-08-15 11:18:45,ORD-000032,FU-000033,,STR-020,,
EVT-0000316,PACKING_COMPLETED,2026-08-15 11:19:32,ORD-000032,FU-000032,,STR-005,,
EVT-0000319,PICKED_UP,2026-08-15 11:20:00,ORD-000032,FU-000032,DEL-000028,STR-005,RID-000045,
EVT-0000320,DELIVERY_STARTED,2026-08-15 11:20:37,ORD-000032,FU-000032,DEL-000028,STR-005,RID-000045,
EVT-0000326,PACKING_COMPLETED,2026-08-15 11:21:51,ORD-000032,FU-000033,,STR-020,,
EVT-0000599,ORDER_CREATED,2026-08-15 11:22:17,ORD-000062,,,,,
EVT-0000600,PAYMENT_SUCCESS,2026-08-15 11:22:33,ORD-000062,,,,,
EVT-0000329,PICKED_UP,2026-08-15 11:22:51,ORD-000032,FU-000033,DEL-000029,STR-020,RID-000032,
EVT-0001012,ORDER_CREATED,2026-08-15 11:22:51,ORD-000099,,,,,
EVT-0001013,PAYMENT_SUCCESS,2026-08-15 11:23:15,ORD-000099,,,,,
EVT-0001014,STORE_ASSIGNED,2026-08-15 11:24:07,ORD-000099,FU-000097,,STR-013,,
EVT-0000330,DELIVERY_STARTED,2026-08-15 11:24:09,ORD-000032,FU-000033,DEL-000029,STR-020,RID-000032,
EVT-0000601,STORE_ASSIGNED,2026-08-15 11:24:26,ORD-000062,FU-000059,,STR-018,,
EVT-0001015,PICKING_STARTED,2026-08-15 11:25:18,ORD-000099,FU-000097,,STR-013,,
EVT-0000602,PICKING_STARTED,2026-08-15 11:25:31,ORD-000062,FU-000059,,STR-018,,
EVT-0001024,ORDER_CREATED,2026-08-15 11:25:31,ORD-000100,,,,,
EVT-0001025,PAYMENT_SUCCESS,2026-08-15 11:26:01,ORD-000100,,,,,
EVT-0000321,DELIVERED,2026-08-15 11:26:40,ORD-000032,FU-000032,DEL-000028,STR-005,RID-000045,
EVT-0001026,STORE_ASSIGNED,2026-08-15 11:27:27,ORD-000100,FU-000098,,STR-011,,
EVT-0001036,STORE_ASSIGNED,2026-08-15 11:27:27,ORD-000100,FU-000099,,STR-006,,
EVT-0000603,PICKING_COMPLETED,2026-08-15 11:27:45,ORD-000062,FU-000059,,STR-018,,
EVT-0001019,RIDER_ASSIGNED,2026-08-15 11:28:00,ORD-000099,FU-000097,DEL-000088,STR-013,RID-000048,
EVT-0000604,PACKING_STARTED,2026-08-15 11:28:14,ORD-000062,FU-000059,,STR-018,,
EVT-0001027,PICKING_STARTED,2026-08-15 11:29:30,ORD-000100,FU-000098,,STR-011,,
EVT-0000606,RIDER_ASSIGNED,2026-08-15 11:30:00,ORD-000062,FU-000059,DEL-000054,STR-018,RID-000039,
EVT-0001031,RIDER_ASSIGNED,2026-08-15 11:30:00,ORD-000100,FU-000098,DEL-000089,STR-011,RID-000003,
EVT-0001037,PICKING_STARTED,2026-08-15 11:30:22,ORD-000100,FU-000099,,STR-006,,
EVT-0000605,PACKING_COMPLETED,2026-08-15 11:30:44,ORD-000062,FU-000059,,STR-018,,
EVT-0000607,RIDER_ARRIVED_AT_STORE,2026-08-15 11:31:00,ORD-000062,FU-000059,DEL-000054,STR-018,RID-000039,
EVT-0001032,RIDER_ARRIVED_AT_STORE,2026-08-15 11:31:00,ORD-000100,FU-000098,DEL-000089,STR-011,RID-000003,
EVT-0001041,RIDER_ASSIGNED,2026-08-15 11:31:00,ORD-000100,FU-000099,DEL-000090,STR-006,RID-000023,
EVT-0000608,PICKED_UP,2026-08-15 11:31:20,ORD-000062,FU-000059,DEL-000054,STR-018,RID-000039,
EVT-0001016,PICKING_COMPLETED,2026-08-15 11:31:20,ORD-000099,FU-000097,,STR-013,,
EVT-0000609,DELIVERY_STARTED,2026-08-15 11:31:53,ORD-000062,FU-000059,DEL-000054,STR-018,RID-000039,
EVT-0001017,PACKING_STARTED,2026-08-15 11:31:59,ORD-000099,FU-000097,,STR-013,,
EVT-0001020,RIDER_ARRIVED_AT_STORE,2026-08-15 11:32:00,ORD-000099,FU-000097,DEL-000088,STR-013,RID-000048,
EVT-0001028,PICKING_COMPLETED,2026-08-15 11:32:55,ORD-000100,FU-000098,,STR-011,,
EVT-0001042,RIDER_ARRIVED_AT_STORE,2026-08-15 11:33:00,ORD-000100,FU-000099,DEL-000090,STR-006,RID-000023,
EVT-0001029,PACKING_STARTED,2026-08-15 11:33:12,ORD-000100,FU-000098,,STR-011,,
EVT-0001018,PACKING_COMPLETED,2026-08-15 11:34:10,ORD-000099,FU-000097,,STR-013,,
EVT-0001021,PICKED_UP,2026-08-15 11:34:50,ORD-000099,FU-000097,DEL-000088,STR-013,RID-000048,
