order_id,customer_id,created_at,payment_success_at,delivery_latitude,delivery_longitude,delivery_zone,status,cancelled_at,cancellation_reason,failure_reason
ORD-000067,CUS-000019,2026-08-15 17:45:55,2026-08-15 17:46:23,12.96936,77.618879,BLR-CEN,CREATED,,,
ORD-000068,CUS-000077,2026-08-15 20:25:26,2026-08-15 20:26:00,13.084411,77.557139,BLR-NTH,CREATED,,,
ORD-000069,CUS-000095,2026-08-15 11:17:23,2026-08-15 11:17:48,12.95022,77.693699,BLR-EST,CREATED,,,
ORD-000070,CUS-000091,2026-08-15 20:26:11,2026-08-15 20:26:16,12.949395,77.670721,BLR-EST,CREATED,,,
ORD-000071,CUS-000017,2026-08-15 22:11:29,2026-08-15 22:11:58,12.878229,77.603139,BLR-STH,CREATED,,,
ORD-000072,CUS-000020,2026-08-15 13:59:22,2026-08-15 14:00:04,12.978474,77.591773,BLR-CEN,CREATED,,,
ORD-000073,CUS-000003,2026-08-15 18:10:53,2026-08-15 18:11:29,12.942545,77.661652,BLR-EST,CREATED,,,
ORD-000074,CUS-000054,2026-08-15 22:35:06,2026-08-15 22:35:15,12.971034,77.522315,BLR-WST,CREATED,,,
ORD-000075,CUS-000086,2026-08-15 22:28:17,2026-08-15 22:29:00,13.028519,77.61553,BLR-NTH,CREATED,,,
ORD-000076,CUS-000021,2026-08-15 21:08:06,2026-08-15 21:08:36,13.028858,77.596767,BLR-NTH,CREATED,,,
ORD-000077,CUS-000007,2026-08-15 21:48:31,2026-08-15 21:48:46,12.9096,77.617903,BLR-STH,CREATED,,,
ORD-000078,CUS-000057,2026-08-15 22:07:07,2026-08-15 22:07:43,12.974674,77.575802,BLR-CEN,CREATED,,,
ORD-000079,CUS-000062,2026-08-15 09:45:29,2026-08-15 09:45:53,12.930784,77.556923,BLR-STH,CREATED,,,
ORD-000080,CUS-000085,2026-08-15 22:41:05,2026-08-15 22:41:36,12.980106,77.661511,BLR-EST,CREATED,,,
ORD-000081,CUS-000086,2026-08-15 22:32:52,2026-08-15 22:33:14,12.952599,77.573102,BLR-CEN,CREATED,,,
ORD-000082,CUS-000089,2026-08-15 09:59:53,2026-08-15 10:00:11,12.956687,77.520825,BLR-WST,CREATED,,,
ORD-000083,CUS-000001,2026-08-15 17:21:55,2026-08-15 17:22:40,12.931719,77.620184,BLR-STH,CREATED,,,
ORD-000084,CUS-000012,2026-08-15 23:39:30,2026-08-15 23:40:09,12.87994,77.582252,BLR-STH,CREATED,,,
ORD-000085,CUS-000042,2026-08-15 11:07:38,2026-08-15 11:08:16,12.993831,77.577192,BLR-CEN,CREATED,,,
ORD-000086,CUS-000060,2026-08-15 08:39:39,2026-08-15 08:39:51,12.989918,77.673802,BLR-EST,CREATED,,,
ORD-000087,CUS-000020,2026-08-15 12:51:21,2026-08-15 12:51:38,12.978474,77.591773,BLR-CEN,CREATED,,,
ORD-000088,CUS-000037,2026-08-15 11:09:37,2026-08-15 11:09:42,12.964425,77.504424,BLR-WST,CREATED,,,
ORD-000089,CUS-000005,2026-08-15 20:03:54,2026-08-15 20:04:24,12.90615,77.578073,BLR-STH,CREATED,,,
ORD-000090,CUS-000018,2026-08-15 22:43:04,2026-08-15 22:43:35,12.962269,77.615714,BLR-CEN,CREATED,,,
ORD-000091,CUS-000096,2026-08-15 22:09:38,2026-08-15 22:09:59,12.877462,77.608508,BLR-STH,CREATED,,,
ORD-000092,CUS-000079,2026-08-15 13:33:32,2026-08-15 13:34:08,12.975818,77.604538,BLR-CEN,CREATED,,,
ORD-000093,CUS-000004,2026-08-15 17:03:56,2026-08-15 17:04:01,12.886919,77.582265,BLR-STH,CREATED,,,
ORD-000094,CUS-000045,2026-08-15 07:59:24,2026-08-15 07:59:37,12.956163,77.601593,BLR-CEN,CREATED,,,
ORD-000095,CUS-000047,2026-08-15 11:56:26,2026-08-15 11:56:32,12.923093,77.601379,BLR-STH,CREATED,,,
ORD-000096,CUS-000038,2026-08-15 20:57:30,2026-08-15 20:57:51,12.994619,77.673322,BLR-EST,CREATED,,,
ORD-000097,CUS-000006,2026-08-15 21:00:17,2026-08-15 21:00:58,13.079715,77.610759,BLR-NTH,CREATED,,,
ORD-000098,CUS-000097,2026-08-15 23:49:58,2026-08-15 23:50:09,12.935512,77.541307,BLR-WST,CREATED,,,
ORD-000099,CUS-000072,2026-08-15 23:12:57,2026-08-15 23:13:31,13.038764,77.561177,BLR-NTH,CREATED,,,
ORD-000100,CUS-000027,2026-08-15 11:30:12,2026-08-15 11:30:26,13.082063,77.564471,BLR-NTH,CREATED,,,
