staffing_snapshot_id,store_id,recorded_at,pickers_scheduled,pickers_available,packers_scheduled,packers_available
STAFF-0000046,STR-002,15-08-2026 21:00,4,4,2,2
STAFF-0000047,STR-002,15-08-2026 22:00,2,2,2,2
STAFF-0000048,STR-002,15-08-2026 23:00,2,2,2,2
STAFF-0000049,STR-003,15-08-2026 00:00,2,2,2,2
STAFF-0000050,STR-003,15-08-2026 01:00,2,2,2,2
STAFF-0000051,STR-003,15-08-2026 02:00,2,2,2,2
STAFF-0000052,STR-003,15-08-2026 03:00,2,2,2,2
STAFF-0000053,STR-003,15-08-2026 04:00,2,2,2,2
STAFF-0000054,STR-003,15-08-2026 05:00,2,2,2,2
STAFF-0000055,STR-003,15-08-2026 06:00,2,2,2,2
STAFF-0000056,STR-003,15-08-2026 07:00,3,3,2,2
STAFF-0000057,STR-003,15-08-2026 08:00,3,3,2,2
STAFF-0000058,STR-003,15-08-2026 09:00,3,3,2,2
STAFF-0000059,STR-003,15-08-2026 10:00,3,3,2,1
STAFF-0000060,STR-003,15-08-2026 11:00,4,4,2,2
STAFF-0000061,STR-003,15-08-2026 12:00,4,2,2,2
STAFF-0000062,STR-003,15-08-2026 13:00,4,4,2,2
STAFF-0000063,STR-003,15-08-2026 14:00,2,2,2,2
STAFF-0000064,STR-003,15-08-2026 15:00,2,2,2,2
STAFF-0000065,STR-003,15-08-2026 16:00,2,2,2,2
STAFF-0000066,STR-003,15-08-2026 17:00,4,4,2,2
STAFF-0000067,STR-003,15-08-2026 18:00,4,4,2,2
STAFF-0000068,STR-003,15-08-2026 19:00,4,4,2,2
STAFF-0000069,STR-003,15-08-2026 20:00,4,4,2,1
STAFF-0000070,STR-003,15-08-2026 21:00,4,4,2,2
STAFF-0000071,STR-003,15-08-2026 22:00,2,2,2,2
STAFF-0000072,STR-003,15-08-2026 23:00,2,2,2,2
STAFF-0000073,STR-004,15-08-2026 00:00,2,2,2,2
STAFF-0000074,STR-004,15-08-2026 01:00,2,2,2,2
STAFF-0000075,STR-004,15-08-2026 02:00,2,1,2,2
STAFF-0000076,STR-004,15-08-2026 03:00,2,1,2,2
STAFF-0000077,STR-004,15-08-2026 04:00,2,2,2,2
STAFF-0000078,STR-004,15-08-2026 05:00,2,2,2,2
STAFF-0000079,STR-004,15-08-2026 06:00,2,2,2,2
STAFF-0000080,STR-004,15-08-2026 07:00,3,3,2,2
STAFF-0000081,STR-004,15-08-2026 08:00,3,3,2,2
STAFF-0000082,STR-004,15-08-2026 09:00,3,3,2,2
STAFF-0000083,STR-004,15-08-2026 10:00,3,3,2,2
STAFF-0000084,STR-004,15-08-2026 11:00,4,4,2,2
STAFF-0000085,STR-004,15-08-2026 12:00,4,3,2,2
STAFF-0000086,STR-004,15-08-2026 13:00,4,4,2,2
STAFF-0000087,STR-004,15-08-2026 14:00,2,2,2,2
STAFF-0000088,STR-004,15-08-2026 15:00,2,2,2,2
STAFF-0000089,STR-004,15-08-2026 16:00,2,2,2,2
STAFF-0000090,STR-004,15-08-2026 17:00,4,3,2,2
STAFF-0000091,STR-004,15-08-2026 18:00,4,4,2,2
STAFF-0000092,STR-004,15-08-2026 19:00,4,4,2,2
STAFF-0000093,STR-004,15-08-2026 20:00,4,4,2,2
STAFF-0000094,STR-004,15-08-2026 21:00,4,3,2,2
STAFF-0000095,STR-004,15-08-2026 22:00,2,2,2,2
STAFF-0000096,STR-004,15-08-2026 23:00,2,2,2,2
STAFF-0000097,STR-005,15-08-2026 00:00,4,4,2,2
STAFF-0000098,STR-005,15-08-2026 01:00,4,3,2,2
STAFF-0000099,STR-005,15-08-2026 02:00,4,3,2,2
STAFF-0000100,STR-005,15-08-2026 03:00,4,4,2,2
STAFF-0000101,STR-005,15-08-2026 04:00,4,4,2,2
STAFF-0000102,STR-005,15-08-2026 05:00,4,4,2,2
STAFF-0000103,STR-005,15-08-2026 06:00,4,2,2,2
STAFF-0000104,STR-005,15-08-2026 07:00,5,4,3,3
STAFF-0000105,STR-005,15-08-2026 08:00,5,5,3,3
STAFF-0000106,STR-005,15-08-2026 09:00,5,4,3,3
STAFF-0000107,STR-005,15-08-2026 10:00,5,5,3,2
STAFF-0000108,STR-005,15-08-2026 11:00,6,6,4,4
STAFF-0000109,STR-005,15-08-2026 12:00,6,6,4,4
STAFF-0000110,STR-005,15-08-2026 13:00,6,6,4,4
STAFF-0000111,STR-005,15-08-2026 14:00,4,2,2,2
STAFF-0000112,STR-005,15-08-2026 15:00,4,4,2,2
STAFF-0000113,STR-005,15-08-2026 16:00,4,4,2,2
STAFF-0000114,STR-005,15-08-2026 17:00,6,6,4,4
STAFF-0000115,STR-005,15-08-2026 18:00,6,6,4,4
STAFF-0000116,STR-005,15-08-2026 19:00,6,6,4,4
STAFF-0000117,STR-005,15-08-2026 20:00,6,6,4,4
STAFF-0000118,STR-005,15-08-2026 21:00,6,6,4,4
STAFF-0000119,STR-005,15-08-2026 22:00,4,4,2,2
STAFF-0000120,STR-005,15-08-2026 23:00,4,4,2,2
STAFF-0000121,STR-006,15-08-2026 00:00,2,2,2,2
STAFF-0000122,STR-006,15-08-2026 01:00,2,2,2,2
STAFF-0000123,STR-006,15-08-2026 02:00,2,2,2,2
STAFF-0000124,STR-006,15-08-2026 03:00,2,2,2,2
STAFF-0000125,STR-006,15-08-2026 04:00,2,2,2,1
STAFF-0000126,STR-006,15-08-2026 05:00,2,2,2,2
STAFF-0000127,STR-006,15-08-2026 06:00,2,2,2,2
STAFF-0000128,STR-006,15-08-2026 07:00,3,2,2,2
STAFF-0000129,STR-006,15-08-2026 08:00,3,3,2,2
STAFF-0000130,STR-006,15-08-2026 09:00,3,3,2,2
STAFF-0000131,STR-006,15-08-2026 10:00,3,3,2,2
STAFF-0000132,STR-006,15-08-2026 11:00,4,4,2,2
STAFF-0000133,STR-006,15-08-2026 12:00,4,4,2,2
STAFF-0000134,STR-006,15-08-2026 13:00,4,4,2,2
STAFF-0000135,STR-006,15-08-2026 14:00,2,2,2,2
STAFF-0000136,STR-006,15-08-2026 15:00,2,2,2,2
STAFF-0000137,STR-006,15-08-2026 16:00,2,2,2,2
STAFF-0000138,STR-006,15-08-2026 17:00,4,4,2,2
STAFF-0000139,STR-006,15-08-2026 18:00,4,4,2,2
STAFF-0000140,STR-006,15-08-2026 19:00,4,4,2,2
STAFF-0000141,STR-006,15-08-2026 20:00,4,4,2,2
STAFF-0000142,STR-006,15-08-2026 21:00,4,4,2,2
STAFF-0000143,STR-006,15-08-2026 22:00,2,2,2,2
STAFF-0000144,STR-006,15-08-2026 23:00,2,2,2,2
STAFF-0000145,STR-007,15-08-2026 00:00,2,2,2,2
STAFF-0000146,STR-007,15-08-2026 01:00,2,2,2,2
STAFF-0000147,STR-007,15-08-2026 02:00,2,2,2,2
STAFF-0000148,STR-007,15-08-2026 03:00,2,2,2,1
STAFF-0000149,STR-007,15-08-2026 04:00,2,2,2,2
STAFF-0000150,STR-007,15-08-2026 05:00,2,2,2,2
STAFF-0000151,STR-007,15-08-2026 06:00,2,2,2,2
STAFF-0000152,STR-007,15-08-2026 07:00,3,3,2,2
STAFF-0000153,STR-007,15-08-2026 08:00,3,3,2,2
STAFF-0000154,STR-007,15-08-2026 09:00,3,3,2,2
STAFF-0000155,STR-007,15-08-2026 10:00,3,3,2,2
STAFF-0000156,STR-007,15-08-2026 11:00,4,4,2,2
STAFF-0000157,STR-007,15-08-2026 12:00,4,3,2,2
STAFF-0000158,STR-007,15-08-2026 13:00,4,4,2,2
STAFF-0000159,STR-007,15-08-2026 14:00,2,2,2,2
STAFF-0000160,STR-007,15-08-2026 15:00,2,2,2,2
STAFF-0000161,STR-007,15-08-2026 16:00,2,2,2,2
STAFF-0000162,STR-007,15-08-2026 17:00,4,4,2,2
STAFF-0000163,STR-007,15-08-2026 18:00,4,4,2,2
STAFF-0000164,STR-007,15-08-2026 19:00,4,4,2,2
STAFF-0000165,STR-007,15-08-2026 20:00,4,4,2,2
STAFF-0000166,STR-007,15-08-2026 21:00,4,4,2,2
STAFF-0000167,STR-007,15-08-2026 22:00,2,2,2,2
STAFF-0000168,STR-007,15-08-2026 23:00,2,2,2,2
STAFF-0000169,STR-008,15-08-2026 00:00,4,4,2,2
STAFF-0000170,STR-008,15-08-2026 01:00,4,3,2,2
STAFF-0000171,STR-008,15-08-2026 02:00,4,4,2,2
STAFF-0000172,STR-008,15-08-2026 03:00,4,4,2,2
STAFF-0000173,STR-008,15-08-2026 04:00,4,4,2,2
STAFF-0000174,STR-008,15-08-2026 05:00,4,4,2,2
STAFF-0000175,STR-008,15-08-2026 06:00,4,2,2,1
STAFF-0000176,STR-008,15-08-2026 07:00,5,5,3,2
STAFF-0000177,STR-008,15-08-2026 08:00,5,4,3,3
STAFF-0000178,STR-008,15-08-2026 09:00,5,4,3,3
STAFF-0000179,STR-008,15-08-2026 10:00,5,5,3,3
STAFF-0000180,STR-008,15-08-2026 11:00,6,5,4,4
STAFF-0000181,STR-008,15-08-2026 12:00,6,5,4,3
STAFF-0000182,STR-008,15-08-2026 13:00,6,4,4,4
STAFF-0000183,STR-008,15-08-2026 14:00,4,4,2,2
STAFF-0000184,STR-008,15-08-2026 15:00,4,4,2,2
STAFF-0000185,STR-008,15-08-2026 16:00,4,4,2,2
STAFF-0000186,STR-008,15-08-2026 17:00,6,4,4,4
STAFF-0000187,STR-008,15-08-2026 18:00,6,4,4,4
STAFF-0000188,STR-008,15-08-2026 19:00,6,6,4,4
STAFF-0000189,STR-008,15-08-2026 20:00,6,6,4,4
STAFF-0000190,STR-008,15-08-2026 21:00,6,5,4,4
STAFF-0000191,STR-008,15-08-2026 22:00,4,4,2,2
STAFF-0000192,STR-008,15-08-2026 23:00,4,4,2,2
STAFF-0000193,STR-009,15-08-2026 00:00,4,4,2,2
STAFF-0000194,STR-009,15-08-2026 01:00,4,3,2,2
STAFF-0000195,STR-009,15-08-2026 02:00,4,4,2,2
STAFF-0000196,STR-009,15-08-2026 03:00,4,4,2,2
STAFF-0000197,STR-009,15-08-2026 04:00,4,4,2,2
STAFF-0000198,STR-009,15-08-2026 05:00,4,4,2,2
STAFF-0000199,STR-009,15-08-2026 06:00,4,4,2,1
STAFF-0000200,STR-009,15-08-2026 07:00,5,5,3,3
STAFF-0000201,STR-009,15-08-2026 08:00,5,5,3,3
STAFF-0000202,STR-009,15-08-2026 09:00,5,5,3,3
STAFF-0000203,STR-009,15-08-2026 10:00,5,4,3,3
STAFF-0000204,STR-009,15-08-2026 11:00,6,6,4,4
STAFF-0000205,STR-009,15-08-2026 12:00,6,4,4,4
STAFF-0000206,STR-009,15-08-2026 13:00,6,6,4,4
STAFF-0000207,STR-009,15-08-2026 14:00,4,4,2,2
STAFF-0000208,STR-009,15-08-2026 15:00,4,4,2,2
STAFF-0000209,STR-009,15-08-2026 16:00,4,4,2,2
STAFF-0000210,STR-009,15-08-2026 17:00,6,6,4,4
STAFF-0000211,STR-009,15-08-2026 18:00,6,6,4,4
STAFF-0000212,STR-009,15-08-2026 19:00,6,6,4,4
STAFF-0000213,STR-009,15-08-2026 20:00,6,5,4,4
STAFF-0000214,STR-009,15-08-2026 21:00,6,6,4,4
STAFF-0000215,STR-009,15-08-2026 22:00,4,4,2,2
STAFF-0000216,STR-009,15-08-2026 23:00,4,3,2,2
STAFF-0000217,STR-010,15-08-2026 00:00,2,2,2,2
STAFF-0000218,STR-010,15-08-2026 01:00,2,2,2,2
STAFF-0000219,STR-010,15-08-2026 02:00,2,2,2,2
STAFF-0000220,STR-010,15-08-2026 03:00,2,2,2,2
STAFF-0000221,STR-010,15-08-2026 04:00,2,2,2,2
STAFF-0000222,STR-010,15-08-2026 05:00,2,1,2,2
STAFF-0000223,STR-010,15-08-2026 06:00,2,2,2,2
STAFF-0000224,STR-010,15-08-2026 07:00,3,3,2,2
STAFF-0000225,STR-010,15-08-2026 08:00,3,3,2,2
STAFF-0000226,STR-010,15-08-2026 09:00,3,3,2,2
STAFF-0000227,STR-010,15-08-2026 10:00,3,3,2,2
STAFF-0000228,STR-010,15-08-2026 11:00,4,4,2,2
STAFF-0000229,STR-010,15-08-2026 12:00,4,4,2,2
STAFF-0000230,STR-010,15-08-2026 13:00,4,4,2,2
STAFF-0000231,STR-010,15-08-2026 14:00,2,2,2,2
STAFF-0000232,STR-010,15-08-2026 15:00,2,2,2,2
STAFF-0000233,STR-010,15-08-2026 16:00,2,2,2,2
STAFF-0000234,STR-010,15-08-2026 17:00,4,4,2,2
STAFF-0000235,STR-010,15-08-2026 18:00,4,4,2,2
STAFF-0000236,STR-010,15-08-2026 19:00,4,3,2,2
STAFF-0000237,STR-010,15-08-2026 20:00,4,4,2,2
STAFF-0000238,STR-010,15-08-2026 21:00,4,4,2,2
STAFF-0000239,STR-010,15-08-2026 22:00,2,2,2,2
STAFF-0000240,STR-010,15-08-2026 23:00,2,2,2,2
STAFF-0000241,STR-011,15-08-2026 00:00,2,2,2,1
STAFF-0000242,STR-011,15-08-2026 01:00,2,2,2,2
STAFF-0000243,STR-011,15-08-2026 02:00,2,2,2,2
STAFF-0000244,STR-011,15-08-2026 03:00,2,2,2,2
STAFF-0000245,STR-011,15-08-2026 04:00,2,2,2,2
STAFF-0000246,STR-011,15-08-2026 05:00,2,2,2,2
STAFF-0000247,STR-011,15-08-2026 06:00,2,2,2,2
STAFF-0000248,STR-011,15-08-2026 07:00,3,3,2,1
STAFF-0000249,STR-011,15-08-2026 08:00,3,3,2,2
STAFF-0000250,STR-011,15-08-2026 09:00,3,3,2,2
STAFF-0000251,STR-011,15-08-2026 10:00,3,3,2,2
STAFF-0000252,STR-011,15-08-2026 11:00,4,4,2,2
STAFF-0000253,STR-011,15-08-2026 12:00,4,3,2,2
STAFF-0000254,STR-011,15-08-2026 13:00,4,3,2,2
STAFF-0000255,STR-011,15-08-2026 14:00,2,2,2,2
STAFF-0000256,STR-011,15-08-2026 15:00,2,2,2,2
STAFF-0000257,STR-011,15-08-2026 16:00,2,2,2,2
STAFF-0000258,STR-011,15-08-2026 17:00,4,4,2,2
STAFF-0000259,STR-011,15-08-2026 18:00,4,4,2,2
STAFF-0000260,STR-011,15-08-2026 19:00,4,4,2,2
STAFF-0000261,STR-011,15-08-2026 20:00,4,3,2,2
STAFF-0000262,STR-011,15-08-2026 21:00,4,4,2,2
STAFF-0000263,STR-011,15-08-2026 22:00,2,2,2,2
STAFF-0000264,STR-011,15-08-2026 23:00,2,2,2,2
STAFF-0000265,STR-012,15-08-2026 00:00,4,4,2,1
STAFF-0000266,STR-012,15-08-2026 01:00,4,4,2,2
STAFF-0000267,STR-012,15-08-2026 02:00,4,4,2,2
STAFF-0000268,STR-012,15-08-2026 03:00,4,3,2,2
STAFF-0000269,STR-012,15-08-2026 04:00,4,4,2,2
STAFF-0000270,STR-012,15-08-2026 05:00,4,4,2,2
STAFF-0000271,STR-012,15-08-2026 06:00,4,4,2,2
STAFF-0000272,STR-012,15-08-2026 07:00,5,3,3,3
STAFF-0000273,STR-012,15-08-2026 08:00,5,5,3,2
STAFF-0000274,STR-012,15-08-2026 09:00,5,3,3,2
STAFF-0000275,STR-012,15-08-2026 10:00,5,4,3,3
STAFF-0000276,STR-012,15-08-2026 11:00,6,6,4,2
STAFF-0000277,STR-012,15-08-2026 12:00,6,5,4,4
STAFF-0000278,STR-012,15-08-2026 13:00,6,5,4,4
STAFF-0000279,STR-012,15-08-2026 14:00,4,2,2,1
STAFF-0000280,STR-012,15-08-2026 15:00,4,4,2,2
STAFF-0000281,STR-012,15-08-2026 16:00,4,3,2,2
STAFF-0000282,STR-012,15-08-2026 17:00,6,6,4,3
STAFF-0000283,STR-012,15-08-2026 18:00,6,6,4,4
STAFF-0000284,STR-012,15-08-2026 19:00,6,6,4,4
STAFF-0000285,STR-012,15-08-2026 20:00,6,6,4,4
STAFF-0000286,STR-012,15-08-2026 21:00,6,6,4,4
STAFF-0000287,STR-012,15-08-2026 22:00,4,4,2,2
STAFF-0000288,STR-012,15-08-2026 23:00,4,2,2,2
STAFF-0000289,STR-013,15-08-2026 00:00,4,4,2,2
STAFF-0000290,STR-013,15-08-2026 01:00,4,4,2,2
STAFF-0000291,STR-013,15-08-2026 02:00,4,2,2,1
STAFF-0000292,STR-013,15-08-2026 03:00,4,3,2,2
STAFF-0000293,STR-013,15-08-2026 04:00,4,4,2,2
STAFF-0000294,STR-013,15-08-2026 05:00,4,4,2,1
STAFF-0000295,STR-013,15-08-2026 06:00,4,4,2,2
STAFF-0000296,STR-013,15-08-2026 07:00,5,4,3,3
STAFF-0000297,STR-013,15-08-2026 08:00,5,4,3,2
STAFF-0000298,STR-013,15-08-2026 09:00,5,4,3,3
STAFF-0000299,STR-013,15-08-2026 10:00,5,4,3,3
STAFF-0000300,STR-013,15-08-2026 11:00,6,6,4,4
STAFF-0000301,STR-013,15-08-2026 12:00,6,5,4,4
STAFF-0000302,STR-013,15-08-2026 13:00,6,4,4,4
STAFF-0000303,STR-013,15-08-2026 14:00,4,4,2,2
STAFF-0000304,STR-013,15-08-2026 15:00,4,4,2,2
STAFF-0000305,STR-013,15-08-2026 16:00,4,4,2,2
STAFF-0000306,STR-013,15-08-2026 17:00,6,5,4,4
STAFF-0000307,STR-013,15-08-2026 18:00,6,6,4,4
STAFF-0000308,STR-013,15-08-2026 19:00,6,5,4,4
STAFF-0000309,STR-013,15-08-2026 20:00,6,6,4,4
STAFF-0000310,STR-013,15-08-2026 21:00,6,6,4,4
STAFF-0000311,STR-013,15-08-2026 22:00,4,4,2,2
STAFF-0000312,STR-013,15-08-2026 23:00,4,4,2,2
STAFF-0000313,STR-014,15-08-2026 00:00,4,4,2,2
STAFF-0000314,STR-014,15-08-2026 01:00,4,4,2,2
STAFF-0000315,STR-014,15-08-2026 02:00,4,4,2,2
STAFF-0000316,STR-014,15-08-2026 03:00,4,4,2,2
STAFF-0000317,STR-014,15-08-2026 04:00,4,4,2,2
STAFF-0000318,STR-014,15-08-2026 05:00,4,4,2,2
STAFF-0000319,STR-014,15-08-2026 06:00,4,4,2,2
STAFF-0000320,STR-014,15-08-2026 07:00,5,5,3,3
STAFF-0000321,STR-014,15-08-2026 08:00,5,5,3,3
STAFF-0000322,STR-014,15-08-2026 09:00,5,4,3,3
STAFF-0000323,STR-014,15-08-2026 10:00,5,5,3,3
STAFF-0000324,STR-014,15-08-2026 11:00,6,6,4,4
STAFF-0000325,STR-014,15-08-2026 12:00,6,6,4,4
STAFF-0000326,STR-014,15-08-2026 13:00,6,6,4,4
STAFF-0000327,STR-014,15-08-2026 14:00,4,4,2,2
STAFF-0000328,STR-014,15-08-2026 15:00,4,2,2,2
STAFF-0000329,STR-014,15-08-2026 16:00,4,4,2,1
STAFF-0000330,STR-014,15-08-2026 17:00,6,6,4,4
STAFF-0000331,STR-014,15-08-2026 18:00,6,4,4,4
STAFF-0000332,STR-014,15-08-2026 19:00,6,6,4,3
STAFF-0000333,STR-014,15-08-2026 20:00,6,5,4,4
STAFF-0000334,STR-014,15-08-2026 21:00,6,6,4,4
STAFF-0000335,STR-014,15-08-2026 22:00,4,3,2,2
STAFF-0000336,STR-014,15-08-2026 23:00,4,4,2,2
STAFF-0000337,STR-015,15-08-2026 00:00,2,2,2,2
STAFF-0000338,STR-015,15-08-2026 01:00,2,2,2,2
STAFF-0000339,STR-015,15-08-2026 02:00,2,2,2,2
STAFF-0000340,STR-015,15-08-2026 03:00,2,2,2,2
STAFF-0000341,STR-015,15-08-2026 04:00,2,2,2,2
STAFF-0000342,STR-015,15-08-2026 05:00,2,2,2,2
STAFF-0000343,STR-015,15-08-2026 06:00,2,2,2,2
STAFF-0000344,STR-015,15-08-2026 07:00,3,3,2,2
STAFF-0000345,STR-015,15-08-2026 08:00,3,2,2,2
STAFF-0000346,STR-015,15-08-2026 09:00,3,3,2,1
STAFF-0000347,STR-015,15-08-2026 10:00,3,3,2,2
STAFF-0000348,STR-015,15-08-2026 11:00,4,4,2,2
STAFF-0000349,STR-015,15-08-2026 12:00,4,3,2,2
STAFF-0000350,STR-015,15-08-2026 13:00,4,4,2,2
STAFF-0000351,STR-015,15-08-2026 14:00,2,2,2,2
STAFF-0000352,STR-015,15-08-2026 15:00,2,2,2,2
STAFF-0000353,STR-015,15-08-2026 16:00,2,2,2,2
STAFF-0000354,STR-015,15-08-2026 17:00,4,4,2,2
STAFF-0000355,STR-015,15-08-2026 18:00,4,3,2,2
STAFF-0000356,STR-015,15-08-2026 19:00,4,4,2,2
STAFF-0000357,STR-015,15-08-2026 20:00,4,4,2,2
STAFF-0000358,STR-015,15-08-2026 21:00,4,4,2,2
STAFF-0000359,STR-015,15-08-2026 22:00,2,2,2,2
STAFF-0000360,STR-015,15-08-2026 23:00,2,2,2,2
STAFF-0000361,STR-016,15-08-2026 00:00,2,2,1,1
STAFF-0000362,STR-016,15-08-2026 01:00,2,2,1,1
STAFF-0000363,STR-016,15-08-2026 02:00,2,2,1,1
STAFF-0000364,STR-016,15-08-2026 03:00,2,2,1,1
STAFF-0000365,STR-016,15-08-2026 04:00,2,2,1,1
STAFF-0000366,STR-016,15-08-2026 05:00,2,2,1,1
STAFF-0000367,STR-016,15-08-2026 06:00,2,2,1,1
STAFF-0000368,STR-016,15-08-2026 07:00,2,2,1,1
STAFF-0000369,STR-016,15-08-2026 08:00,2,2,1,1
STAFF-0000370,STR-016,15-08-2026 09:00,2,2,1,1
STAFF-0000371,STR-016,15-08-2026 10:00,2,2,1,1
STAFF-0000372,STR-016,15-08-2026 11:00,2,2,1,1
STAFF-0000373,STR-016,15-08-2026 12:00,2,2,1,1
STAFF-0000374,STR-016,15-08-2026 13:00,2,2,1,1
STAFF-0000375,STR-016,15-08-2026 14:00,2,2,1,1
STAFF-0000376,STR-016,15-08-2026 15:00,2,2,1,1
STAFF-0000377,STR-016,15-08-2026 16:00,2,2,1,1
STAFF-0000378,STR-016,15-08-2026 17:00,2,2,1,1
STAFF-0000379,STR-016,15-08-2026 18:00,2,2,1,1
STAFF-0000380,STR-016,15-08-2026 19:00,2,2,1,1
STAFF-0000381,STR-016,15-08-2026 20:00,2,2,1,1
STAFF-0000382,STR-016,15-08-2026 21:00,2,2,1,1
STAFF-0000383,STR-016,15-08-2026 22:00,2,2,1,1
STAFF-0000384,STR-016,15-08-2026 23:00,2,1,1,1
STAFF-0000385,STR-017,15-08-2026 00:00,2,2,2,2
STAFF-0000386,STR-017,15-08-2026 01:00,2,2,2,2
STAFF-0000387,STR-017,15-08-2026 02:00,2,2,2,2
STAFF-0000388,STR-017,15-08-2026 03:00,2,2,2,2
STAFF-0000389,STR-017,15-08-2026 04:00,2,2,2,2
STAFF-0000390,STR-017,15-08-2026 05:00,2,2,2,2
STAFF-0000391,STR-017,15-08-2026 06:00,2,2,2,2
STAFF-0000392,STR-017,15-08-2026 07:00,3,3,2,2
STAFF-0000393,STR-017,15-08-2026 08:00,3,3,2,2
STAFF-0000394,STR-017,15-08-2026 09:00,3,3,2,2
STAFF-0000395,STR-017,15-08-2026 10:00,3,2,2,1
STAFF-0000396,STR-017,15-08-2026 11:00,4,4,2,2
STAFF-0000397,STR-017,15-08-2026 12:00,4,4,2,2
STAFF-0000398,STR-017,15-08-2026 13:00,4,4,2,2
STAFF-0000399,STR-017,15-08-2026 14:00,2,2,2,2
STAFF-0000400,STR-017,15-08-2026 15:00,2,2,2,2
STAFF-0000401,STR-017,15-08-2026 16:00,2,2,2,2
STAFF-0000402,STR-017,15-08-2026 17:00,4,3,2,2
STAFF-0000403,STR-017,15-08-2026 18:00,4,4,2,2
STAFF-0000404,STR-017,15-08-2026 19:00,4,4,2,2
STAFF-0000405,STR-017,15-08-2026 20:00,4,4,2,2
STAFF-0000406,STR-017,15-08-2026 21:00,4,4,2,2
STAFF-0000407,STR-017,15-08-2026 22:00,2,2,2,2
STAFF-0000408,STR-017,15-08-2026 23:00,2,2,2,2
STAFF-0000409,STR-018,15-08-2026 00:00,3,3,2,2
STAFF-0000410,STR-018,15-08-2026 01:00,3,3,2,2
STAFF-0000411,STR-018,15-08-2026 02:00,3,3,2,2
STAFF-0000412,STR-018,15-08-2026 03:00,3,3,2,2
STAFF-0000413,STR-018,15-08-2026 04:00,3,3,2,2
STAFF-0000414,STR-018,15-08-2026 05:00,3,3,2,2
STAFF-0000415,STR-018,15-08-2026 06:00,3,3,2,2
STAFF-0000416,STR-018,15-08-2026 07:00,4,4,2,2
STAFF-0000417,STR-018,15-08-2026 08:00,4,3,2,2
STAFF-0000418,STR-018,15-08-2026 09:00,4,4,2,2
STAFF-0000419,STR-018,15-08-2026 10:00,4,4,2,2
STAFF-0000420,STR-018,15-08-2026 11:00,5,5,2,2
STAFF-0000421,STR-018,15-08-2026 12:00,5,5,2,2
