delivery_id,fulfilment_unit_id,rider_id,status,rider_arrived_at_store,picked_up_at,delivery_started_at,delivered_at,delivery_distance,traffic_condition,weather_condition,cancelled_at,cancellation_reason,failed_at,failure_reason
DEL-000032,FU-000036,RID-000028,DELIVERED,2026-08-15 12:04:00,2026-08-15 12:12:09,2026-08-15 12:12:48,2026-08-15 12:21:09,5.38,MODERATE,CLEAR,,,,
DEL-000033,FU-000037,RID-000023,DELIVERED,2026-08-15 20:48:00,2026-08-15 20:49:33,2026-08-15 20:50:36,2026-08-15 20:55:38,8.15,MODERATE,CLOUDY,,,,
DEL-000034,FU-000038,RID-000002,DELIVERED,2026-08-15 07:31:00,2026-08-15 07:31:43,2026-08-15 07:32:13,2026-08-15 07:41:51,6.66,HIGH,CLEAR,,,,
DEL-000035,FU-000039,,NO_RIDER_ACCEPTED,,,,,4.76,LOW,CLEAR,,,,
DEL-000036,FU-000040,RID-000016,DELIVERED,2026-08-15 22:09:00,2026-08-15 22:10:35,2026-08-15 22:11:06,2026-08-15 22:14:37,4.35,LOW,CLEAR,,,,
DEL-000037,FU-000041,RID-000050,DELIVERED,2026-08-15 20:46:00,2026-08-15 20:50:47,2026-08-15 20:51:52,2026-08-15 20:56:23,7.31,MODERATE,CLOUDY,,,,
DEL-000038,FU-000042,,NO_RIDER_ACCEPTED,,,,,3.38,SEVERE,CLOUDY,,,,
DEL-000039,FU-000043,RID-000026,DELIVERED,2026-08-15 09:20:00,2026-08-15 09:23:06,2026-08-15 09:24:19,2026-08-15 09:31:11,7.14,HIGH,CLEAR,,,,
DEL-000040,FU-000044,,NO_RIDER_ACCEPTED,,,,,2.55,SEVERE,CLOUDY,,,,
DEL-000041,FU-000045,RID-000005,DELIVERED,2026-08-15 12:40:00,2026-08-15 12:40:33,2026-08-15 12:41:33,2026-08-15 12:54:47,7.98,HIGH,RAIN,,,,
DEL-000042,FU-000046,RID-000002,DELIVERED,2026-08-15 12:23:00,2026-08-15 12:26:31,2026-08-15 12:27:18,2026-08-15 12:36:06,4.55,SEVERE,CLEAR,,,,
DEL-000043,FU-000047,,NO_RIDER_ACCEPTED,,,,,4.84,MODERATE,CLEAR,,,,
DEL-000044,FU-000048,RID-000019,DELIVERED,2026-08-15 22:05:00,2026-08-15 22:14:03,2026-08-15 22:14:21,2026-08-15 22:31:12,4.59,SEVERE,CLEAR,,,,
DEL-000045,FU-000049,RID-000018,DELIVERED,2026-08-15 18:21:00,2026-08-15 18:26:33,2026-08-15 18:27:15,2026-08-15 18:40:44,3.61,SEVERE,RAIN,,,,
DEL-000046,FU-000050,RID-000009,DELIVERED,2026-08-15 19:01:00,2026-08-15 19:02:58,2026-08-15 19:03:29,2026-08-15 19:09:11,2.49,LOW,CLEAR,,,,
DEL-000047,FU-000052,,NO_RIDER_ACCEPTED,,,,,4.68,MODERATE,CLEAR,,,,
DEL-000048,FU-000053,RID-000024,DELIVERED,2026-08-15 18:54:00,2026-08-15 18:56:08,2026-08-15 18:56:34,2026-08-15 19:03:20,2.74,LOW,CLEAR,,,,
DEL-000049,FU-000054,RID-000025,DELIVERED,2026-08-15 19:16:00,2026-08-15 19:20:20,2026-08-15 19:21:16,2026-08-15 19:29:43,0.39,MODERATE,CLEAR,,,,
DEL-000050,FU-000055,RID-000024,DELIVERED,2026-08-15 10:02:00,2026-08-15 10:06:51,2026-08-15 10:08:03,2026-08-15 10:16:16,0.8,MODERATE,CLOUDY,,,,
DEL-000051,FU-000056,RID-000034,DELIVERED,2026-08-15 08:56:00,2026-08-15 08:56:36,2026-08-15 08:57:33,2026-08-15 09:06:11,5.54,MODERATE,CLEAR,,,,
DEL-000052,FU-000057,RID-000041,DELIVERED,2026-08-15 23:05:00,2026-08-15 23:07:10,2026-08-15 23:07:35,2026-08-15 23:18:59,5.81,HIGH,CLEAR,,,,
DEL-000053,FU-000058,RID-000032,DELIVERED,2026-08-15 22:53:00,2026-08-15 23:00:29,2026-08-15 23:01:52,2026-08-15 23:10:22,5.51,MODERATE,CLEAR,,,,
DEL-000054,FU-000059,RID-000039,DELIVERED,2026-08-15 11:31:00,2026-08-15 11:31:20,2026-08-15 11:31:53,2026-08-15 11:36:05,7.79,LOW,CLEAR,,,,
DEL-000055,FU-000061,RID-000004,DELIVERED,2026-08-15 23:14:00,2026-08-15 23:18:23,2026-08-15 23:19:51,2026-08-15 23:29:20,5.99,MODERATE,RAIN,,,,
DEL-000056,FU-000062,RID-000031,DELIVERED,2026-08-15 23:49:00,2026-08-15 23:49:32,2026-08-15 23:50:20,2026-08-15 23:58:23,2.13,HIGH,CLOUDY,,,,
DEL-000057,FU-000063,RID-000022,DELIVERED,2026-08-15 23:35:00,2026-08-15 23:38:43,2026-08-15 23:39:29,2026-08-15 23:47:42,3.61,MODERATE,CLEAR,,,,
DEL-000058,FU-000064,RID-000026,DELIVERED,2026-08-15 13:51:00,2026-08-15 13:55:28,2026-08-15 13:56:45,2026-08-15 14:02:51,4.8,LOW,RAIN,,,,
DEL-000059,FU-000065,RID-000028,DELIVERED,2026-08-15 12:43:00,2026-08-15 12:43:45,2026-08-15 12:44:17,2026-08-15 12:55:21,3.88,HIGH,CLEAR,,,,
DEL-000060,FU-000066,RID-000040,DELIVERED,2026-08-15 18:11:00,2026-08-15 18:14:42,2026-08-15 18:15:11,2026-08-15 18:19:25,8.02,MODERATE,CLEAR,,,,
DEL-000061,FU-000067,RID-000016,DELIVERED,2026-08-15 18:12:00,2026-08-15 18:15:16,2026-08-15 18:16:05,2026-08-15 18:24:54,5.22,LOW,CLOUDY,,,,
DEL-000062,FU-000068,RID-000015,DELIVERED,2026-08-15 09:53:00,2026-08-15 09:53:24,2026-08-15 09:53:53,2026-08-15 10:03:48,6.47,HIGH,CLEAR,,,,
DEL-000063,FU-000069,RID-000038,DELIVERED,2026-08-15 21:56:00,2026-08-15 21:56:59,2026-08-15 21:57:20,2026-08-15 22:03:24,6.94,MODERATE,CLEAR,,,,
DEL-000064,FU-000070,RID-000038,DELIVERED,2026-08-15 08:32:00,2026-08-15 08:34:22,2026-08-15 08:35:32,2026-08-15 08:42:14,4.17,MODERATE,CLOUDY,,,,
DEL-000065,FU-000071,RID-000011,DELIVERED,2026-08-15 07:54:00,2026-08-15 07:59:16,2026-08-15 07:59:37,2026-08-15 08:06:08,3.59,LOW,CLEAR,,,,
DEL-000066,FU-000072,RID-000049,DELIVERED,2026-08-15 20:00:00,2026-08-15 20:07:44,2026-08-15 20:08:47,2026-08-15 20:16:46,6.29,HIGH,CLEAR,,,,
DEL-000067,FU-000073,RID-000047,DELIVERED,2026-08-15 22:59:00,2026-08-15 23:01:28,2026-08-15 23:02:37,2026-08-15 23:11:22,1.96,HIGH,CLEAR,,,,
DEL-000068,FU-000074,,NO_RIDER_ACCEPTED,,,,,5.31,MODERATE,CLEAR,,,,
DEL-000069,FU-000075,RID-000045,DELIVERED,2026-08-15 22:33:00,2026-08-15 22:36:20,2026-08-15 22:37:41,2026-08-15 22:43:35,8.24,MODERATE,CLEAR,,,,
DEL-000070,FU-000076,RID-000049,DELIVERED,2026-08-15 17:57:00,2026-08-15 18:03:15,2026-08-15 18:04:17,2026-08-15 18:11:02,5.46,MODERATE,CLEAR,,,,
DEL-000071,FU-000077,RID-000024,DELIVERED,2026-08-15 19:55:00,2026-08-15 19:55:27,2026-08-15 19:56:26,2026-08-15 20:05:06,1.77,LOW,RAIN,,,,
DEL-000072,FU-000078,RID-000044,DELIVERED,2026-08-15 19:36:00,2026-08-15 19:37:31,2026-08-15 19:38:07,2026-08-15 19:46:24,4.96,MODERATE,CLOUDY,,,,
DEL-000073,FU-000079,RID-000007,DELIVERED,2026-08-15 13:30:00,2026-08-15 13:38:45,2026-08-15 13:39:20,2026-08-15 13:48:08,1.55,MODERATE,CLEAR,,,,
DEL-000074,FU-000081,RID-000047,DELIVERED,2026-08-15 19:42:00,2026-08-15 19:42:42,2026-08-15 19:44:02,2026-08-15 19:51:16,8.33,HIGH,CLEAR,,,,
DEL-000075,FU-000082,RID-000040,DELIVERED,2026-08-15 22:24:00,2026-08-15 22:32:10,2026-08-15 22:33:06,2026-08-15 22:40:00,2.67,MODERATE,CLOUDY,,,,
DEL-000076,FU-000084,RID-000006,DELIVERED,2026-08-15 22:46:00,2026-08-15 22:47:36,2026-08-15 22:48:50,2026-08-15 22:55:23,2.24,LOW,RAIN,,,,
DEL-000077,FU-000085,RID-000006,DELIVERED,2026-08-15 23:58:00,2026-08-16 00:00:26,2026-08-16 00:00:46,2026-08-16 00:17:37,5.28,SEVERE,CLEAR,,,,
DEL-000078,FU-000086,RID-000022,DELIVERED,2026-08-15 08:46:00,2026-08-15 08:51:37,2026-08-15 08:52:04,2026-08-15 08:59:45,7.07,MODERATE,CLOUDY,,,,
DEL-000079,FU-000087,RID-000050,DELIVERED,2026-08-15 08:05:00,2026-08-15 08:12:35,2026-08-15 08:13:35,2026-08-15 08:20:13,3.15,MODERATE,CLEAR,,,,
DEL-000080,FU-000088,RID-000013,DELIVERED,2026-08-15 09:13:00,2026-08-15 09:19:20,2026-08-15 09:20:23,2026-08-15 09:25:36,6.19,MODERATE,CLEAR,,,,
DEL-000081,FU-000089,RID-000011,DELIVERED,2026-08-15 12:50:00,2026-08-15 12:52:46,2026-08-15 12:54:03,2026-08-15 13:05:12,3.9,SEVERE,CLEAR,,,,
DEL-000082,FU-000090,RID-000040,DELIVERED,2026-08-15 23:52:00,2026-08-16 00:00:13,2026-08-16 00:01:41,2026-08-16 00:10:33,9.03,MODERATE,CLEAR,,,,
DEL-000083,FU-000091,RID-000045,DELIVERED,2026-08-16 00:06:00,2026-08-16 00:13:04,2026-08-16 00:14:13,2026-08-16 00:17:43,4.97,MODERATE,CLEAR,,,,
DEL-000084,FU-000092,RID-000014,DELIVERED,2026-08-15 08:52:00,2026-08-15 08:55:08,2026-08-15 08:56:23,2026-08-15 09:05:15,5.67,LOW,CLEAR,,,,
DEL-000085,FU-000093,RID-000019,DELIVERED,2026-08-15 21:10:00,2026-08-15 21:12:19,2026-08-15 21:12:43,2026-08-15 21:17:28,5.14,MODERATE,CLOUDY,,,,
DEL-000086,FU-000094,RID-000003,DELIVERED,2026-08-15 21:09:00,2026-08-15 21:14:37,2026-08-15 21:15:16,2026-08-15 21:24:13,6.63,HIGH,CLOUDY,,,,
DEL-000087,FU-000096,RID-000011,DELIVERED,2026-08-15 09:17:00,2026-08-15 09:20:43,2026-08-15 09:21:57,2026-08-15 09:37:43,7.98,SEVERE,CLEAR,,,,
DEL-000088,FU-000097,RID-000048,DELIVERED,2026-08-15 11:32:00,2026-08-15 11:34:50,2026-08-15 11:35:33,2026-08-15 11:43:08,2.9,MODERATE,CLOUDY,,,,
DEL-000089,FU-000098,RID-000003,DELIVERED,2026-08-15 11:31:00,2026-08-15 11:37:11,2026-08-15 11:37:41,2026-08-15 11:43:06,9.2,MODERATE,CLEAR,,,,
DEL-000090,FU-000099,RID-000023,DELIVERED,2026-08-15 11:33:00,2026-08-15 11:38:41,2026-08-15 11:38:58,2026-08-15 11:43:16,4.58,MODERATE,CLEAR,,,,
