assignment_id,delivery_id,rider_id,offered_at,responded_at,response,rejection_reason
RA-0000028,DEL-000090,RID-000023,15-08-2026 11:30,15-08-2026 11:31,ACCEPTED,
RA-0000029,DEL-000032,RID-000028,15-08-2026 12:03,15-08-2026 12:03,ACCEPTED,
RA-0000030,DEL-000042,RID-000002,15-08-2026 12:19,15-08-2026 12:20,ACCEPTED,
RA-0000031,DEL-000047,RID-000030,15-08-2026 12:21,15-08-2026 12:22,REJECTED,OUTSIDE_PREFERRED_ZONE
RA-0000032,DEL-000041,RID-000005,15-08-2026 12:35,15-08-2026 12:36,ACCEPTED,
RA-0000033,DEL-000008,RID-000001,15-08-2026 12:36,15-08-2026 12:36,EXPIRED,
RA-0000034,DEL-000059,RID-000028,15-08-2026 12:37,15-08-2026 12:38,ACCEPTED,
RA-0000035,DEL-000018,RID-000023,15-08-2026 12:41,15-08-2026 12:42,ACCEPTED,
RA-0000036,DEL-000081,RID-000011,15-08-2026 12:48,15-08-2026 12:48,ACCEPTED,
RA-0000037,DEL-000073,RID-000007,15-08-2026 13:26,15-08-2026 13:27,ACCEPTED,
RA-0000038,DEL-000019,RID-000049,15-08-2026 13:29,15-08-2026 13:30,ACCEPTED,
RA-0000039,DEL-000015,RID-000044,15-08-2026 13:33,15-08-2026 13:34,ACCEPTED,
RA-0000040,DEL-000035,RID-000036,15-08-2026 13:42,15-08-2026 13:43,REJECTED,TOO_FAR
RA-0000041,DEL-000058,RID-000026,15-08-2026 13:49,15-08-2026 13:50,ACCEPTED,
RA-0000042,DEL-000010,RID-000002,15-08-2026 13:54,15-08-2026 13:55,ACCEPTED,
RA-0000043,DEL-000027,RID-000006,15-08-2026 13:57,15-08-2026 13:58,ACCEPTED,
RA-0000044,DEL-000020,RID-000014,15-08-2026 17:15,15-08-2026 17:16,REJECTED,LOW_PAY
RA-0000045,DEL-000020,RID-000008,15-08-2026 17:15,15-08-2026 17:15,ACCEPTED,
RA-0000046,DEL-000022,RID-000037,15-08-2026 17:49,15-08-2026 17:49,ACCEPTED,
RA-0000047,DEL-000070,RID-000049,15-08-2026 17:52,15-08-2026 17:53,ACCEPTED,
RA-0000048,DEL-000060,RID-000035,15-08-2026 18:08,15-08-2026 18:08,REJECTED,BUSY
RA-0000049,DEL-000060,RID-000040,15-08-2026 18:08,15-08-2026 18:08,ACCEPTED,
RA-0000050,DEL-000061,RID-000016,15-08-2026 18:11,15-08-2026 18:11,ACCEPTED,
RA-0000051,DEL-000045,RID-000018,15-08-2026 18:15,15-08-2026 18:16,ACCEPTED,
RA-0000052,DEL-000004,RID-000035,15-08-2026 18:17,15-08-2026 18:18,EXPIRED,
RA-0000053,DEL-000004,RID-000046,15-08-2026 18:17,15-08-2026 18:17,EXPIRED,
RA-0000054,DEL-000004,RID-000031,15-08-2026 18:17,15-08-2026 18:18,EXPIRED,
RA-0000055,DEL-000031,RID-000038,15-08-2026 18:25,15-08-2026 18:25,REJECTED,TOO_FAR
RA-0000056,DEL-000031,RID-000041,15-08-2026 18:25,15-08-2026 18:25,REJECTED,PERSONAL_REASON
RA-0000057,DEL-000031,RID-000047,15-08-2026 18:25,15-08-2026 18:25,ACCEPTED,
RA-0000058,DEL-000024,RID-000011,15-08-2026 18:26,15-08-2026 18:27,ACCEPTED,
RA-0000059,DEL-000025,RID-000004,15-08-2026 18:27,15-08-2026 18:28,ACCEPTED,
RA-0000060,DEL-000048,RID-000024,15-08-2026 18:48,15-08-2026 18:49,ACCEPTED,
RA-0000061,DEL-000046,RID-000009,15-08-2026 18:55,15-08-2026 18:56,ACCEPTED,
RA-0000062,DEL-000049,RID-000010,15-08-2026 19:11,15-08-2026 19:13,REJECTED,LOW_PAY
RA-0000063,DEL-000049,RID-000025,15-08-2026 19:11,15-08-2026 19:13,ACCEPTED,
RA-0000064,DEL-000072,RID-000044,15-08-2026 19:33,15-08-2026 19:35,ACCEPTED,
RA-0000065,DEL-000074,RID-000047,15-08-2026 19:36,15-08-2026 19:37,ACCEPTED,
RA-0000066,DEL-000009,RID-000030,15-08-2026 19:41,15-08-2026 19:42,ACCEPTED,
RA-0000067,DEL-000071,RID-000036,15-08-2026 19:49,15-08-2026 19:50,REJECTED,TOO_FAR
RA-0000068,DEL-000071,RID-000006,15-08-2026 19:49,15-08-2026 19:50,REJECTED,PERSONAL_REASON
RA-0000069,DEL-000071,RID-000024,15-08-2026 19:49,15-08-2026 19:50,ACCEPTED,
RA-0000070,DEL-000038,RID-000030,15-08-2026 19:57,15-08-2026 19:58,REJECTED,TOO_FAR
RA-0000071,DEL-000066,RID-000049,15-08-2026 19:56,15-08-2026 19:57,ACCEPTED,
RA-0000072,DEL-000011,RID-000028,15-08-2026 20:04,15-08-2026 20:05,ACCEPTED,
RA-0000073,DEL-000012,RID-000016,15-08-2026 20:05,15-08-2026 20:06,ACCEPTED,
RA-0000074,DEL-000013,RID-000007,15-08-2026 20:21,15-08-2026 20:23,ACCEPTED,
RA-0000075,DEL-000037,RID-000050,15-08-2026 20:41,15-08-2026 20:42,ACCEPTED,
RA-0000076,DEL-000033,RID-000023,15-08-2026 20:44,15-08-2026 20:45,ACCEPTED,
RA-0000077,DEL-000085,RID-000006,15-08-2026 21:06,15-08-2026 21:07,REJECTED,LOW_PAY
RA-0000078,DEL-000085,RID-000019,15-08-2026 21:06,15-08-2026 21:07,ACCEPTED,
RA-0000079,DEL-000086,RID-000003,15-08-2026 21:06,15-08-2026 21:08,ACCEPTED,
RA-0000080,DEL-000023,RID-000024,15-08-2026 21:39,15-08-2026 21:40,ACCEPTED,
RA-0000081,DEL-000063,RID-000038,15-08-2026 21:51,15-08-2026 21:51,ACCEPTED,
RA-0000082,DEL-000044,RID-000019,15-08-2026 22:02,15-08-2026 22:03,ACCEPTED,
RA-0000083,DEL-000036,RID-000016,15-08-2026 22:06,15-08-2026 22:07,ACCEPTED,
RA-0000084,DEL-000005,RID-000048,15-08-2026 22:17,15-08-2026 22:18,EXPIRED,
RA-0000085,DEL-000005,RID-000003,15-08-2026 22:17,15-08-2026 22:18,ACCEPTED,
RA-0000086,DEL-000075,RID-000040,15-08-2026 22:22,15-08-2026 22:23,ACCEPTED,
RA-0000087,DEL-000069,RID-000045,15-08-2026 22:31,15-08-2026 22:31,ACCEPTED,
RA-0000088,DEL-000076,RID-000006,15-08-2026 22:42,15-08-2026 22:43,ACCEPTED,
RA-0000089,DEL-000030,RID-000014,15-08-2026 22:41,15-08-2026 22:42,ACCEPTED,
RA-0000090,DEL-000040,RID-000010,15-08-2026 22:50,15-08-2026 22:51,EXPIRED,
RA-0000091,DEL-000053,RID-000032,15-08-2026 22:50,15-08-2026 22:52,ACCEPTED,
RA-0000092,DEL-000006,RID-000012,15-08-2026 22:54,15-08-2026 22:56,ACCEPTED,
RA-0000093,DEL-000067,RID-000047,15-08-2026 22:54,15-08-2026 22:55,ACCEPTED,
RA-0000094,DEL-000068,RID-000029,15-08-2026 22:54,15-08-2026 22:55,REJECTED,LOW_PAY
RA-0000095,DEL-000068,RID-000007,15-08-2026 22:54,15-08-2026 22:55,REJECTED,OUTSIDE_PREFERRED_ZONE
RA-0000096,DEL-000001,RID-000036,15-08-2026 22:57,15-08-2026 22:57,ACCEPTED,
RA-0000097,DEL-000052,RID-000041,15-08-2026 23:02,15-08-2026 23:04,ACCEPTED,
RA-0000098,DEL-000055,RID-000004,15-08-2026 23:11,15-08-2026 23:12,ACCEPTED,
RA-0000099,DEL-000002,RID-000037,15-08-2026 23:16,15-08-2026 23:16,EXPIRED,
RA-0000100,DEL-000002,RID-000001,15-08-2026 23:16,15-08-2026 23:17,ACCEPTED,
RA-0000101,DEL-000017,RID-000043,15-08-2026 23:23,15-08-2026 23:23,EXPIRED,
RA-0000102,DEL-000057,RID-000022,15-08-2026 23:29,15-08-2026 23:30,ACCEPTED,
RA-0000103,DEL-000056,RID-000031,15-08-2026 23:46,15-08-2026 23:48,ACCEPTED,
RA-0000104,DEL-000026,RID-000003,15-08-2026 23:46,15-08-2026 23:47,REJECTED,LOW_PAY
RA-0000105,DEL-000082,RID-000016,15-08-2026 23:47,15-08-2026 23:49,EXPIRED,
RA-0000106,DEL-000082,RID-000040,15-08-2026 23:47,15-08-2026 23:49,ACCEPTED,
RA-0000107,DEL-000077,RID-000010,15-08-2026 23:53,15-08-2026 23:53,EXPIRED,
RA-0000108,DEL-000077,RID-000034,15-08-2026 23:53,15-08-2026 23:53,REJECTED,TOO_FAR
RA-0000109,DEL-000077,RID-000006,15-08-2026 23:53,15-08-2026 23:53,ACCEPTED,
RA-0000110,DEL-000016,RID-000041,15-08-2026 23:54,15-08-2026 23:55,EXPIRED,
RA-0000111,DEL-000016,RID-000038,15-08-2026 23:54,15-08-2026 23:55,REJECTED,BUSY
RA-0000112,DEL-000021,RID-000022,16-08-2026 00:00,16-08-2026 00:01,ACCEPTED,
RA-0000113,DEL-000083,RID-000045,16-08-2026 00:03,16-08-2026 00:03,ACCEPTED,
