fulfilment_unit_id,order_id,store_id,status,assigned_to_store_at,picking_started_at,picking_completed_at,packing_started_at,packing_completed_at,cancelled_at,cancellation_reason,failed_at,failure_reason,completed_at
FU-000033,ORD-000032,STR-020,READY_FOR_PICKING,2026-08-15 11:08:12,2026-08-15 11:10:47,2026-08-15 11:13:03,2026-08-15 11:13:33,2026-08-15 11:14:55,,,,,2026-08-15 11:34:19
FU-000034,ORD-000033,STR-004,READY_FOR_PICKING,2026-08-15 22:38:46,2026-08-15 22:40:16,2026-08-15 22:46:39,2026-08-15 22:46:58,2026-08-15 22:50:28,,,,,2026-08-15 23:00:41
FU-000035,ORD-000034,STR-010,READY_FOR_PICKING,2026-08-15 18:21:01,2026-08-15 18:22:40,2026-08-15 18:27:03,2026-08-15 18:27:35,2026-08-15 18:30:46,,,,,2026-08-15 18:37:05
FU-000036,ORD-000035,STR-010,READY_FOR_PICKING,2026-08-15 12:02:04,2026-08-15 12:04:19,2026-08-15 12:09:53,2026-08-15 12:10:30,2026-08-15 12:11:52,,,,,2026-08-15 12:16:47
FU-000037,ORD-000036,STR-004,READY_FOR_PICKING,2026-08-15 20:39:17,2026-08-15 20:41:00,2026-08-15 20:44:00,2026-08-15 20:44:25,2026-08-15 20:46:55,,,,,2026-08-15 20:55:16
FU-000038,ORD-000037,STR-010,READY_FOR_PICKING,2026-08-15 07:20:38,2026-08-15 07:22:57,2026-08-15 07:27:06,2026-08-15 07:27:44,2026-08-15 07:31:07,,,,,2026-08-15 07:45:22
FU-000039,ORD-000039,STR-015,READY_FOR_PICKING,2026-08-15 13:40:15,2026-08-15 13:41:18,2026-08-15 13:44:37,2026-08-15 13:45:21,2026-08-15 13:48:22,,,,,
FU-000040,ORD-000040,STR-009,READY_FOR_PICKING,2026-08-15 22:02:05,2026-08-15 22:03:23,2026-08-15 22:10:58,2026-08-15 22:11:26,2026-08-15 22:13:36,,,,,2026-08-15 22:20:00
FU-000041,ORD-000041,STR-016,READY_FOR_PICKING,2026-08-15 20:37:22,2026-08-15 20:40:03,2026-08-15 20:47:30,2026-08-15 20:47:45,2026-08-15 20:51:12,,,,,2026-08-15 20:57:46
FU-000042,ORD-000043,STR-014,READY_FOR_PICKING,2026-08-15 19:53:28,2026-08-15 19:54:54,2026-08-15 20:02:04,2026-08-15 20:02:40,2026-08-15 20:04:47,,,,,
FU-000043,ORD-000045,STR-013,READY_FOR_PICKING,2026-08-15 09:14:14,2026-08-15 09:17:02,2026-08-15 09:21:45,2026-08-15 09:22:19,2026-08-15 09:23:45,,,,,2026-08-15 09:36:46
FU-000044,ORD-000046,STR-002,READY_FOR_PICKING,2026-08-15 22:46:36,2026-08-15 22:47:42,2026-08-15 22:51:55,2026-08-15 22:52:36,2026-08-15 22:53:44,,,,,
FU-000045,ORD-000047,STR-011,READY_FOR_PICKING,2026-08-15 12:30:27,2026-08-15 12:32:06,2026-08-15 12:39:58,2026-08-15 12:40:33,2026-08-15 12:42:39,,,,,2026-08-15 12:57:00
FU-000046,ORD-000048,STR-003,READY_FOR_PICKING,2026-08-15 12:17:31,2026-08-15 12:18:54,2026-08-15 12:23:00,2026-08-15 12:23:17,2026-08-15 12:25:29,,,,,2026-08-15 12:39:12
FU-000047,ORD-000050,STR-016,READY_FOR_PICKING,2026-08-15 07:14:34,2026-08-15 07:17:15,2026-08-15 07:21:15,2026-08-15 07:21:58,2026-08-15 07:24:26,,,,,
FU-000048,ORD-000051,STR-018,READY_FOR_PICKING,2026-08-15 22:01:10,2026-08-15 22:02:58,2026-08-15 22:10:31,2026-08-15 22:11:07,2026-08-15 22:12:13,,,,,2026-08-15 22:24:51
FU-000049,ORD-000052,STR-019,READY_FOR_PICKING,2026-08-15 18:13:54,2026-08-15 18:16:01,2026-08-15 18:23:55,2026-08-15 18:24:11,2026-08-15 18:25:32,,,,,2026-08-15 18:44:37
FU-000050,ORD-000053,STR-006,READY_FOR_PICKING,2026-08-15 18:52:52,2026-08-15 18:54:47,2026-08-15 19:00:47,2026-08-15 19:01:22,2026-08-15 19:04:23,,,,,2026-08-15 19:14:48
FU-000051,ORD-000054,STR-019,CANCELLED,2026-08-15 23:59:36,,,,,2026-08-16 00:04:36,ITEM_UNAVAILABLE,,,
FU-000052,ORD-000055,STR-001,READY_FOR_PICKING,2026-08-15 12:18:07,2026-08-15 12:20:12,2026-08-15 12:27:56,2026-08-15 12:28:17,2026-08-15 12:29:19,,,,,
FU-000053,ORD-000056,STR-019,READY_FOR_PICKING,2026-08-15 18:46:05,2026-08-15 18:47:05,2026-08-15 18:49:47,2026-08-15 18:50:13,2026-08-15 18:53:33,,,,,2026-08-15 19:03:03
FU-000054,ORD-000057,STR-001,READY_FOR_PICKING,2026-08-15 19:06:59,2026-08-15 19:09:55,2026-08-15 19:16:40,2026-08-15 19:16:57,2026-08-15 19:20:10,,,,,2026-08-15 19:25:36
FU-000055,ORD-000058,STR-018,READY_FOR_PICKING,2026-08-15 09:55:31,2026-08-15 09:56:32,2026-08-15 10:03:06,2026-08-15 10:03:42,2026-08-15 10:05:06,,,,,2026-08-15 10:14:20
FU-000056,ORD-000059,STR-012,READY_FOR_PICKING,2026-08-15 08:48:32,2026-08-15 08:51:08,2026-08-15 08:57:41,2026-08-15 08:58:09,2026-08-15 09:01:11,,,,,2026-08-15 09:06:10
FU-000057,ORD-000060,STR-005,READY_FOR_PICKING,2026-08-15 22:57:42,2026-08-15 22:59:44,2026-08-15 23:07:02,2026-08-15 23:07:26,2026-08-15 23:08:49,,,,,2026-08-15 23:24:08
FU-000058,ORD-000061,STR-018,READY_FOR_PICKING,2026-08-15 22:48:45,2026-08-15 22:50:48,2026-08-15 22:57:13,2026-08-15 22:57:29,2026-08-15 23:00:55,,,,,2026-08-15 23:06:39
FU-000059,ORD-000062,STR-018,READY_FOR_PICKING,2026-08-15 11:24:26,2026-08-15 11:27:12,2026-08-15 11:34:05,2026-08-15 11:34:36,2026-08-15 11:36:37,,,,,2026-08-15 11:43:17
FU-000060,ORD-000064,STR-006,FAILED,2026-08-15 17:11:26,,,,,,,2026-08-15 17:12:26,STORE_OPERATIONAL_FAILURE,
FU-000061,ORD-000065,STR-010,READY_FOR_PICKING,2026-08-15 23:08:39,2026-08-15 23:11:05,2026-08-15 23:17:34,2026-08-15 23:18:13,2026-08-15 23:21:41,,,,,2026-08-15 23:35:37
FU-000062,ORD-000066,STR-009,READY_FOR_PICKING,2026-08-15 23:41:47,2026-08-15 23:44:38,2026-08-15 23:52:23,2026-08-15 23:52:49,2026-08-15 23:56:08,,,,,2026-08-16 00:06:40
FU-000063,ORD-000067,STR-002,READY_FOR_PICKING,2026-08-15 23:25:51,2026-08-15 23:28:29,2026-08-15 23:32:13,2026-08-15 23:32:47,2026-08-15 23:34:03,,,,,2026-08-15 23:38:04
FU-000064,ORD-000068,STR-015,READY_FOR_PICKING,2026-08-15 13:44:46,2026-08-15 13:46:09,2026-08-15 13:52:08,2026-08-15 13:52:48,2026-08-15 13:55:05,,,,,2026-08-15 14:03:57
FU-000065,ORD-000069,STR-010,READY_FOR_PICKING,2026-08-15 12:33:16,2026-08-15 12:34:22,2026-08-15 12:36:45,2026-08-15 12:37:14,2026-08-15 12:38:19,,,,,2026-08-15 12:49:48
FU-000066,ORD-000070,STR-005,READY_FOR_PICKING,2026-08-15 18:07:07,2026-08-15 18:08:48,2026-08-15 18:16:47,2026-08-15 18:17:14,2026-08-15 18:19:36,,,,,2026-08-15 18:26:15
FU-000067,ORD-000070,STR-008,READY_FOR_PICKING,2026-08-15 18:07:07,2026-08-15 18:09:39,2026-08-15 18:14:29,2026-08-15 18:15:00,2026-08-15 18:18:03,,,,,2026-08-15 18:26:22
FU-000068,ORD-000071,STR-001,READY_FOR_PICKING,2026-08-15 09:43:41,2026-08-15 09:44:46,2026-08-15 09:49:06,2026-08-15 09:49:45,2026-08-15 09:52:46,,,,,2026-08-15 10:03:38
FU-000069,ORD-000072,STR-007,READY_FOR_PICKING,2026-08-15 21:46:10,2026-08-15 21:48:09,2026-08-15 21:54:05,2026-08-15 21:54:40,2026-08-15 21:55:47,,,,,2026-08-15 22:00:55
FU-000070,ORD-000073,STR-004,READY_FOR_PICKING,2026-08-15 08:25:41,2026-08-15 08:28:33,2026-08-15 08:32:22,2026-08-15 08:32:52,2026-08-15 08:34:53,,,,,2026-08-15 08:44:34
FU-000071,ORD-000074,STR-016,READY_FOR_PICKING,2026-08-15 07:46:50,2026-08-15 07:49:27,2026-08-15 07:55:37,2026-08-15 07:56:08,2026-08-15 07:58:11,,,,,2026-08-15 08:03:50
FU-000072,ORD-000075,STR-013,READY_FOR_PICKING,2026-08-15 19:54:26,2026-08-15 19:57:16,2026-08-15 20:02:39,2026-08-15 20:03:23,2026-08-15 20:06:49,,,,,2026-08-15 20:19:16
FU-000073,ORD-000076,STR-016,READY_FOR_PICKING,2026-08-15 22:53:23,2026-08-15 22:55:49,2026-08-15 23:01:50,2026-08-15 23:02:30,2026-08-15 23:05:40,,,,,2026-08-15 23:15:16
FU-000074,ORD-000076,STR-010,READY_FOR_PICKING,2026-08-15 22:53:23,2026-08-15 22:54:51,2026-08-15 23:00:42,2026-08-15 23:01:18,2026-08-15 23:03:27,,,,,
FU-000075,ORD-000077,STR-003,READY_FOR_PICKING,2026-08-15 22:28:12,2026-08-15 22:30:12,2026-08-15 22:34:51,2026-08-15 22:35:24,2026-08-15 22:36:28,,,,,2026-08-15 22:45:42
FU-000076,ORD-000078,STR-018,READY_FOR_PICKING,2026-08-15 17:50:47,2026-08-15 17:53:12,2026-08-15 17:55:48,2026-08-15 17:56:06,2026-08-15 17:59:32,,,,,2026-08-15 18:05:04
FU-000077,ORD-000079,STR-014,READY_FOR_PICKING,2026-08-15 19:46:21,2026-08-15 19:48:15,2026-08-15 19:53:31,2026-08-15 19:54:12,2026-08-15 19:57:18,,,,,2026-08-15 20:06:11
FU-000078,ORD-000080,STR-003,READY_FOR_PICKING,2026-08-15 19:28:53,2026-08-15 19:30:14,2026-08-15 19:37:55,2026-08-15 19:38:30,2026-08-15 19:39:45,,,,,2026-08-15 19:49:48
FU-000079,ORD-000081,STR-010,READY_FOR_PICKING,2026-08-15 13:24:57,2026-08-15 13:27:23,2026-08-15 13:30:37,2026-08-15 13:31:20,2026-08-15 13:33:26,,,,,2026-08-15 13:43:12
FU-000080,ORD-000082,STR-016,CANCELLED,2026-08-15 22:58:15,,,,,2026-08-15 23:01:15,STORE_UNAVAILABLE,,,
FU-000081,ORD-000083,STR-007,READY_FOR_PICKING,2026-08-15 19:31:30,2026-08-15 19:34:11,2026-08-15 19:37:20,2026-08-15 19:37:59,2026-08-15 19:41:03,,,,,2026-08-15 19:50:07
FU-000082,ORD-000084,STR-015,READY_FOR_PICKING,2026-08-15 22:18:21,2026-08-15 22:19:56,2026-08-15 22:23:29,2026-08-15 22:23:57,2026-08-15 22:24:57,,,,,2026-08-15 22:33:51
FU-000083,ORD-000085,STR-014,CANCELLED,2026-08-15 18:30:25,,,,,2026-08-15 18:32:25,CUSTOMER_REQUEST,,,
FU-000084,ORD-000086,STR-015,READY_FOR_PICKING,2026-08-15 22:37:17,2026-08-15 22:39:20,2026-08-15 22:45:42,2026-08-15 22:46:13,2026-08-15 22:48:21,,,,,2026-08-15 22:56:43
FU-000085,ORD-000087,STR-007,READY_FOR_PICKING,2026-08-15 23:51:02,2026-08-15 23:53:45,2026-08-15 23:56:13,2026-08-15 23:56:36,2026-08-15 23:58:57,,,,,2026-08-16 00:12:21
FU-000086,ORD-000088,STR-011,READY_FOR_PICKING,2026-08-15 08:41:06,2026-08-15 08:43:38,2026-08-15 08:50:39,2026-08-15 08:51:02,2026-08-15 08:53:27,,,,,2026-08-15 09:03:41
FU-000087,ORD-000089,STR-017,READY_FOR_PICKING,2026-08-15 08:00:43,2026-08-15 08:01:55,2026-08-15 08:08:22,2026-08-15 08:08:55,2026-08-15 08:11:56,,,,,2026-08-15 08:17:29
FU-000088,ORD-000090,STR-016,READY_FOR_PICKING,2026-08-15 09:07:13,2026-08-15 09:09:56,2026-08-15 09:12:54,2026-08-15 09:13:11,2026-08-15 09:16:15,,,,,2026-08-15 09:21:49
FU-000089,ORD-000091,STR-013,READY_FOR_PICKING,2026-08-15 12:44:18,2026-08-15 12:45:27,2026-08-15 12:52:34,2026-08-15 12:52:59,2026-08-15 12:54:02,,,,,2026-08-15 13:09:52
FU-000090,ORD-000092,STR-007,READY_FOR_PICKING,2026-08-15 23:46:47,2026-08-15 23:49:42,2026-08-15 23:53:33,2026-08-15 23:54:12,2026-08-15 23:55:17,,,,,2026-08-16 00:01:01
FU-000091,ORD-000093,STR-008,READY_FOR_PICKING,2026-08-15 23:58:07,2026-08-16 00:00:59,2026-08-16 00:03:17,2026-08-16 00:03:56,2026-08-16 00:07:02,,,,,2026-08-16 00:15:42
FU-000092,ORD-000094,STR-016,READY_FOR_PICKING,2026-08-15 08:44:56,2026-08-15 08:47:22,2026-08-15 08:54:44,2026-08-15 08:55:09,2026-08-15 08:57:14,,,,,2026-08-15 09:05:59
FU-000093,ORD-000095,STR-001,READY_FOR_PICKING,2026-08-15 21:02:49,2026-08-15 21:04:50,2026-08-15 21:10:04,2026-08-15 21:10:24,2026-08-15 21:13:52,,,,,2026-08-15 21:21:39
FU-000094,ORD-000095,STR-018,READY_FOR_PICKING,2026-08-15 21:02:49,2026-08-15 21:05:40,2026-08-15 21:08:57,2026-08-15 21:09:34,2026-08-15 21:12:46,,,,,2026-08-15 21:21:35
FU-000095,ORD-000096,STR-016,FAILED,2026-08-15 09:16:16,,,,,,,2026-08-15 09:19:16,STORE_CAPACITY_EXCEEDED,
FU-000096,ORD-000098,STR-004,READY_FOR_PICKING,2026-08-15 09:11:29,2026-08-15 09:13:41,2026-08-15 09:16:21,2026-08-15 09:16:58,2026-08-15 09:20:25,,,,,2026-08-15 09:37:18
FU-000097,ORD-000099,STR-013,READY_FOR_PICKING,2026-08-15 11:24:07,2026-08-15 11:25:25,2026-08-15 11:30:50,2026-08-15 11:31:35,2026-08-15 11:33:50,,,,,2026-08-15 11:40:24
FU-000098,ORD-000100,STR-011,READY_FOR_PICKING,2026-08-15 11:27:27,2026-08-15 11:28:38,2026-08-15 11:34:08,2026-08-15 11:34:29,2026-08-15 11:37:33,,,,,2026-08-15 11:46:59
FU-000099,ORD-000100,STR-006,READY_FOR_PICKING,2026-08-15 11:27:27,2026-08-15 11:29:32,2026-08-15 11:31:33,2026-08-15 11:31:55,2026-08-15 11:33:01,,,,,2026-08-15 11:38:24
